period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,10256,409,681,99019,4203674,18,19473,24277,3603,705459,1843,290608,4152,0.01
1,14374,4422,11680,99019,4379210,18,19473,24277,4976,718588,1843,290608,4152,0.00
2,15498,4422,14283,99019,5364175,18,19473,24277,6232,731792,1843,290608,4152,0.00
3,769572,84591,17174,99019,6095203,18,19473,24277,7566,935896,1843,290608,4152,15.02
4,1604751,158620,21048,99019,6597820,18,19473,24277,8915,1154571,1843,290608,4152,16.05
5,2463099,237309,24062,99019,6725524,18,19473,24277,10114,1377017,1843,290608,4152,16.62
6,3297761,310963,27602,99019,6882996,18,19473,24277,11445,1588468,1843,290608,4152,15.50
7,4101594,384829,31136,99019,7064346,18,19473,24277,12689,1790487,1843,290608,4152,14.89
8,4891552,460256,34290,99019,7265034,18,19473,24277,14001,1993105,1843,290608,4152,15.17
9,5689660,533223,37843,99019,10510150,18,19473,24277,15270,2192818,1843,290608,4152,14.70
10,6516872,610966,41534,99019,7620087,18,19473,24277,16588,2399777,1843,290608,4152,15.41
11,7360135,689310,44714,99019,7770321,18,19473,24277,17810,2610742,1843,290608,4152,15.68
12,8182807,766541,47869,99019,7940936,18,19473,24277,19098,2821691,1843,290608,4152,15.81
13,9028742,840412,51580,99019,13442872,18,19473,24277,20405,3036225,1843,290608,4152,15.84
14,9848122,915251,54809,99019,8257184,18,19473,24277,21624,3243390,1843,290608,4152,15.36
15,10643688,986923,58220,99019,8456111,18,19473,24277,22894,3444665,1843,290608,4152,14.63
16,11473299,1063630,62089,99019,8622624,18,19473,24277,24137,3657268,1843,290608,4152,15.85
17,12363225,1139850,65429,99019,8731409,18,19473,24277,25394,3883083,1843,290608,4152,16.54
18,13220644,1213357,68892,99019,8867624,18,19473,24277,26547,4101277,1843,290608,4152,15.88
19,14113642,1291361,72396,99019,8964883,18,19473,24277,27852,4325065,1843,290608,4152,16.75
20,14970528,1369790,76416,99019,9101659,18,19473,24277,29071,4548361,1843,290608,4152,16.39
21,15828372,1443480,79844,99019,9233430,18,19473,24277,30324,4767326,1843,290608,4152,15.94
22,16681517,1517279,83644,99019,9372767,18,19473,24277,31658,4983923,1843,290608,4152,15.94
23,17567011,1593714,86903,99019,9483300,18,19473,24277,32993,5207182,1843,290608,4152,16.47
24,18411789,1668614,90822,99019,9638878,18,19473,24277,34300,5426617,1843,290608,4152,16.16
25,19304471,1744904,94292,99019,9775430,18,19473,24277,35591,5655510,1843,290608,4152,16.52
26,20184871,1818475,97503,99019,9881647,18,19473,24277,36918,5884946,1843,290608,4152,16.46
27,21055092,1892642,101564,99019,10007835,18,19473,24277,38131,6111180,1843,290608,4152,16.23
28,21929412,1966823,104824,99019,10125987,18,19473,24277,39393,6336423,1843,290608,4152,16.29
29,22797880,2042611,109665,99019,25152459,18,19473,24277,40675,6567633,1843,290608,4152,16.66
30,23656767,2113157,112864,99019,10390822,18,19473,24277,41941,6788677,1843,290608,4152,15.97
31,24529431,2186837,116383,99019,10504219,18,19473,24277,43185,7016606,1843,290608,4152,16.21
32,25408426,2259392,119748,99019,10614927,18,19473,24277,44505,7249549,1843,290608,4152,16.40
33,26263548,2334531,126026,99019,10752991,18,19473,24277,45784,7480158,1843,290608,4152,16.45
34,27126396,2407704,129529,99019,10877932,18,19473,24277,47059,7706336,1843,290608,4152,16.10
35,27992752,2481872,133194,99019,11003369,18,19473,24277,48377,7931429,1843,290608,4152,16.19
36,28850985,2555604,136435,99019,30221407,18,19473,24277,49585,8156644,1843,290608,4152,15.92
37,29747734,2630840,139698,99019,11234039,18,19473,24277,50841,8399581,1843,290608,4152,17.36
38,30640957,2705870,142859,99019,31643532,18,19473,24277,52093,8635501,1843,290608,4152,16.66
39,31511456,2777371,145767,99019,32359130,18,19473,24277,53466,8865380,1843,290608,4152,16.19
40,32411856,2853982,148935,99019,33066452,18,19473,24277,54833,9104296,1843,290608,4152,16.90
41,33300674,2930574,162889,99019,11638384,18,19473,24277,56098,9342472,1843,290608,4152,17.08
42,34181902,3002768,166100,99019,11744944,18,19473,24277,57402,9572238,1843,290608,4152,16.39
43,35070185,3078413,169615,99019,35223769,18,19473,24277,58682,9804192,1843,290608,4152,16.44
44,35948934,3153089,172661,99019,35937653,18,19473,24277,59929,10031700,1843,290608,4152,16.42
45,36806225,3225998,175898,99019,12087661,18,19473,24277,61287,10262586,1843,290608,4152,16.48
46,37709534,3302527,179585,99019,12177297,18,19473,24277,62566,10497894,1843,290608,4152,16.73
47,38582979,3376916,183065,99019,12293210,18,19473,24277,63909,10727762,1843,290608,4152,16.20
48,39449094,3449427,186789,99019,12418039,18,19473,24277,65233,10957004,1843,290608,4152,16.07
49,40349520,3526117,190467,99019,12512002,18,19473,24277,66516,11199654,1843,290608,4152,17.23
50,41236812,3598775,193623,99019,12616022,18,19473,24277,67854,11432501,1843,290608,4152,16.48
51,42141739,3674108,197774,99019,12709761,18,19473,24277,69176,11668194,1843,290608,4152,16.89
52,43049279,3749230,201323,99019,12794199,18,19473,24277,70431,11904335,1843,290608,4152,16.89
53,43943368,3825340,205016,99019,12896879,18,19473,24277,71724,12145020,1843,290608,4152,17.17
54,44811988,3895660,207948,99019,13014949,18,19473,24277,73030,12374138,1843,290608,4152,16.16
55,45712597,3972773,212022,99019,13107032,18,19473,24277,74242,12610970,1843,290608,4152,16.75
56,46623551,4048430,215115,99019,13191735,18,19473,24277,75552,12848430,1843,290608,4152,16.94
57,47545630,4127174,218763,99019,13267098,18,19473,24277,76886,13096197,1843,290608,4152,17.80
58,48428014,4200874,222124,99019,13371088,18,19473,24277,78141,13329672,1843,290608,4152,16.45
59,49334892,4275986,225729,99019,13456854,18,19473,24277,79438,13568002,1843,290608,4152,16.93
60,50219760,4350700,229633,99019,13566420,18,19473,24277,80746,13800257,1843,290608,4152,16.44
61,51105279,4424396,232960,99019,13671935,18,19473,24277,82062,14038541,1843,290608,4152,16.95
62,51972295,4498381,236393,99019,13785408,18,19473,24277,83283,14266666,1843,290608,4152,16.18
63,52858110,4573072,239592,99019,13889538,18,19473,24277,84570,14497223,1843,290608,4152,16.40
64,53758888,4646607,243622,99019,13982538,18,19473,24277,85835,14731489,1843,290608,4152,16.79
65,54645807,4723497,247327,99019,14080273,18,19473,24277,87257,14970595,1843,290608,4152,17.04
66,55536105,4797740,250402,99019,51705529,18,19473,24277,88506,15203683,1843,290608,4152,16.56
67,56403721,4870928,253050,99019,14308242,18,19473,24277,89798,15429611,1843,290608,4152,16.17
68,56485323,4873861,256127,99019,53392362,18,19473,24277,91429,15461563,1843,290608,4152,0.95
69,56890702,4909855,259700,99019,15815445,18,19473,24277,92773,15569515,1843,290608,4152,6.71
70,57817514,4986353,263052,99019,15882558,18,19473,24277,94020,15805034,1843,290608,4152,17.28
71,58669952,5057693,266795,99019,16016501,18,19473,24277,95288,16028808,1843,290608,4152,15.75
72,59564869,5132910,270164,99019,56407582,18,19473,24277,96531,16259291,1843,290608,4152,16.62
73,60471559,5211597,273533,99019,57115872,18,19473,24277,97807,16498943,1843,290608,4152,17.49
74,61373144,5286130,276573,99019,16290009,18,19473,24277,99005,16734511,1843,290608,4152,16.82
75,62250918,5359045,280149,99019,16397884,18,19473,24277,100248,16963916,1843,290608,4152,16.27
76,63160431,5434418,283488,99019,59276862,18,19473,24277,101578,17203628,1843,290608,4152,16.96
77,64033677,5512456,286444,99019,59988206,18,19473,24277,102817,17437654,1843,290608,4152,16.85
78,64921910,5586688,289368,99019,16688665,18,19473,24277,104074,17672133,1843,290608,4152,16.62
79,65796868,5661578,293206,99019,16811879,18,19473,24277,105407,17900156,1843,290608,4152,16.25
80,66632803,5733431,297156,99019,16969649,18,19473,24277,106641,18118630,1843,290608,4152,15.44
81,67492601,5809926,300273,99019,62886678,18,19473,24277,107929,18348672,1843,290608,4152,16.58
82,68402556,5885339,303403,99019,17186088,18,19473,24277,109170,18584107,1843,290608,4152,16.98
83,69259092,5958980,306661,99019,17311618,18,19473,24277,110445,18805285,1843,290608,4152,15.89
84,70133391,6033539,310191,99019,65051504,18,19473,24277,111740,19032319,1843,290608,4152,16.06
85,70208373,6036396,313446,99019,66016598,18,19473,24277,113480,19063582,1843,290608,4152,0.87
86,70923053,6097981,316662,99019,66784581,18,19473,24277,114789,19248985,1843,290608,4152,13.04
87,71738316,6169622,319772,99019,18809318,18,19473,24277,116061,19456596,1843,290608,4152,15.06
88,72576696,6241982,322961,99019,18954883,18,19473,24277,117195,19671364,1843,290608,4152,15.59
89,73446547,6318586,326708,99019,19085121,18,19473,24277,118618,19895310,1843,290608,4152,16.61
90,74309807,6391354,330098,99019,19209230,18,19473,24277,119817,20120448,1843,290608,4152,16.00
91,75180375,6465844,333806,99019,70443820,18,19473,24277,121123,20345335,1843,290608,4152,16.05
92,76028099,6538819,337021,99019,19477787,18,19473,24277,122350,20567125,1843,290608,4152,16.04
93,76889550,6615356,340884,99019,19611308,18,19473,24277,123652,20791551,1843,290608,4152,16.45
94,77751857,6688606,343854,99019,19733346,18,19473,24277,124937,21015664,1843,290608,4152,16.11
95,78631136,6761747,347339,99019,19845580,18,19473,24277,126212,21244429,1843,290608,4152,16.30
96,79499570,6833324,351081,99019,19962990,18,19473,24277,127419,21470265,1843,290608,4152,16.11
97,80343750,6907582,354460,99019,20112261,18,19473,24277,128794,21695005,1843,290608,4152,16.07
98,81184191,6977598,357900,99019,20262842,18,19473,24277,130030,21915498,1843,290608,4152,15.48
99,82056675,7050787,361443,99019,20384566,18,19473,24277,131278,22138893,1843,290608,4152,16.14
100,82939467,7125885,365342,99019,20492422,18,19473,24277,132571,22371073,1843,290608,4152,16.31
101,83827002,7202490,368686,99019,20593586,18,19473,24277,133871,22608004,1843,290608,4152,16.99
102,84697919,7276166,372506,99019,20715756,18,19473,24277,135232,22833464,1843,290608,4152,16.07
103,85543210,7348139,375706,99019,20861082,18,19473,24277,136500,23051093,1843,290608,4152,15.67
104,86432444,7423383,379155,99019,79882924,18,19473,24277,137667,23282492,1843,290608,4152,16.55
105,87268211,7495922,382830,99019,21119018,18,19473,24277,138947,23504107,1843,290608,4152,15.90
106,88125792,7569102,386165,99019,21255953,18,19473,24277,140197,23723850,1843,290608,4152,15.79
107,88978221,7640799,389871,99019,21406758,18,19473,24277,141449,23943820,1843,290608,4152,15.64
108,89862781,7714138,393140,99019,21509285,18,19473,24277,142648,24171978,1843,290608,4152,16.38
109,90717086,7789345,396953,99019,21636354,18,19473,24277,143857,24402337,1843,290608,4152,16.38
110,91597919,7863646,400459,99019,21749663,18,19473,24277,145131,24629154,1843,290608,4152,16.34
111,92459211,7936998,403323,99019,21878376,18,19473,24277,146350,24853462,1843,290608,4152,15.90
112,93265362,8007906,406282,99019,85715733,18,19473,24277,147585,25062948,1843,290608,4152,14.75
113,94080705,8082056,409338,99019,22231017,18,19473,24277,148837,25275647,1843,290608,4152,15.60
114,94949455,8155588,412572,99019,22352564,18,19473,24277,150089,25495948,1843,290608,4152,16.11
115,95824657,8230190,415938,99019,22466473,18,19473,24277,151375,25716971,1843,290608,4152,16.18
116,96707306,8305297,419226,99019,22573363,18,19473,24277,152659,25942158,1843,290608,4152,16.39
117,97548850,8381355,422731,99019,89347296,18,19473,24277,153942,26159869,1843,290608,4152,16.03
118,98350186,8457040,426411,99019,22907615,18,19473,24277,155197,26356509,1843,290608,4152,14.78
119,99236434,8532990,429722,99019,23009875,18,19473,24277,156463,26577027,1843,290608,4152,16.41
120,100134253,8608469,432852,99019,23105310,18,19473,24277,157715,26804100,1843,290608,4152,16.65
121,101028864,8687009,436991,99019,23210819,18,19473,24277,159020,27039098,1843,290608,4152,17.23
122,101890569,8759640,439949,99019,23337914,18,19473,24277,160262,27262954,1843,290608,4152,15.92
123,102788557,8836662,443520,99019,23434780,18,19473,24277,161551,27495637,1843,290608,4152,16.77
124,103683401,8913946,447046,99019,23532362,18,19473,24277,162820,27732192,1843,290608,4152,16.90
125,104467842,8988472,450527,99019,95171154,18,19473,24277,164079,27934418,1843,290608,4152,14.93
126,105269574,9061009,453545,99019,95924755,18,19473,24277,165265,28128133,1843,290608,4152,14.75
127,106113454,9137744,456614,99019,24092750,18,19473,24277,166471,28338184,1843,290608,4152,15.78
128,106977089,9212669,460549,99019,24226280,18,19473,24277,167834,28553402,1843,290608,4152,15.92
129,107859218,9292363,464372,99019,24341980,18,19473,24277,169145,28784463,1843,290608,4152,17.03
130,108759968,9367733,467575,99019,24433896,18,19473,24277,170365,29014103,1843,290608,4152,16.79
131,109649140,9444787,470760,99019,24531108,18,19473,24277,171625,29243268,1843,290608,4152,16.42
132,110455288,9517118,473835,99019,100280672,18,19473,24277,172949,29449493,1843,290608,4152,14.91
133,111300249,9593469,476871,99019,24850884,18,19473,24277,174139,29667852,1843,290608,4152,16.29
134,112161527,9667918,480096,99019,24970858,18,19473,24277,175376,29885624,1843,290608,4152,15.89
135,113030746,9745169,483690,99019,25092446,18,19473,24277,176620,30097702,1843,290608,4152,16.07
136,113900344,9820571,487334,99019,25211070,18,19473,24277,177940,30317158,1843,290608,4152,16.10
137,114782849,9898344,490673,99019,25322322,18,19473,24277,179236,30543032,1843,290608,4152,16.83
138,115672827,9975997,494841,99019,25427050,18,19473,24277,180478,30765299,1843,290608,4152,16.37
139,116571291,10052037,497824,99019,25518414,18,19473,24277,181699,30989120,1843,290608,4152,16.64
140,117439156,10128174,501311,99019,25645135,18,19473,24277,183013,31205259,1843,290608,4152,16.07
141,118337341,10210104,505304,99019,25743723,18,19473,24277,184285,31435580,1843,290608,4152,17.06
142,119201176,10284740,508416,99019,25869945,18,19473,24277,185609,31653054,1843,290608,4152,15.93
143,120077121,10359558,512037,99019,25989715,18,19473,24277,186867,31874014,1843,290608,4152,16.20
144,120977493,10435264,515123,99019,26076143,18,19473,24277,188161,32105540,1843,290608,4152,16.77
145,121853353,10510179,518275,99019,109676646,18,19473,24277,189516,32339217,1843,290608,4152,16.73
146,122743223,10583337,521429,99019,26282232,18,19473,24277,190704,32570756,1843,290608,4152,16.54
147,123620739,10655435,524744,99019,26394846,18,19473,24277,192011,32799376,1843,290608,4152,16.31
148,124526919,10729908,528624,99019,26479383,18,19473,24277,193344,33037945,1843,290608,4152,16.89
149,125426655,10807461,531888,99019,26568532,18,19473,24277,194667,33281175,1843,290608,4152,17.17
150,126324766,10881647,535559,99019,26657130,18,19473,24277,195951,33517188,1843,290608,4152,16.72
151,127201818,10955601,539199,99019,26767391,18,19473,24277,197235,33746144,1843,290608,4152,16.24
152,128094408,11030758,542674,99019,26860852,18,19473,24277,198557,33980923,1843,290608,4152,16.59
153,128980292,11105458,546099,99019,26967957,18,19473,24277,199826,34221995,1843,290608,4152,16.92
154,129846754,11176907,550053,99019,27087902,18,19473,24277,201141,34451975,1843,290608,4152,16.06
155,130730849,11250678,553433,99019,27198856,18,19473,24277,202470,34680141,1843,290608,4152,16.33
156,131627686,11323938,556875,99019,27291599,18,19473,24277,203859,34915527,1843,290608,4152,16.59
157,132515184,11400960,559828,99019,27392026,18,19473,24277,205030,35153714,1843,290608,4152,17.13
158,133402596,11475372,563213,99019,27495914,18,19473,24277,206295,35385106,1843,290608,4152,16.41
159,134275448,11546219,567204,99019,27617061,18,19473,24277,207575,35620251,1843,290608,4152,16.30
160,135163429,11620373,570579,99019,27712480,18,19473,24277,208691,35855229,1843,290608,4152,16.69
161,136052742,11696294,573621,99019,27811097,18,19473,24277,210036,36095057,1843,290608,4152,17.04
162,136943582,11771211,577511,99019,27919233,18,19473,24277,211341,36333359,1843,290608,4152,16.73
163,137819486,11846371,581062,99019,28043120,18,19473,24277,212565,36565928,1843,290608,4152,16.46
164,138710306,11919469,585027,99019,28143635,18,19473,24277,213871,36805683,1843,290608,4152,16.77
165,139607727,11997554,588339,99019,28239306,18,19473,24277,215171,37046910,1843,290608,4152,17.23
166,140493581,12070303,592312,99019,28342624,18,19473,24277,216435,37280577,1843,290608,4152,16.59
167,141390970,12144759,596245,99019,28435585,18,19473,24277,217782,37516601,1843,290608,4152,16.74
168,142276568,12220203,599371,99019,28535454,18,19473,24277,218881,37750685,1843,290608,4152,16.76
169,143156800,12296363,602993,99019,28649869,18,19473,24277,220104,37990724,1843,290608,4152,16.93
170,144057605,12369429,606039,99019,28747115,18,19473,24277,221362,38223877,1843,290608,4152,16.69
171,144931750,12443511,609506,99019,28859171,18,19473,24277,222610,38454498,1843,290608,4152,16.20
172,145820347,12517262,612659,99019,128989252,18,19473,24277,223825,38684551,1843,290608,4152,16.45
173,146721911,12593556,616002,99019,29048022,18,19473,24277,225029,38928149,1843,290608,4152,17.34
174,147622548,12668331,619039,99019,130409076,18,19473,24277,226149,39165693,1843,290608,4152,16.68
175,148503846,12741961,622230,99019,29247461,18,19473,24277,227266,39393590,1843,290608,4152,16.42
176,149365993,12814879,625278,99019,29378918,18,19473,24277,228552,39618961,1843,290608,4152,15.91
177,150212063,12889287,629159,99019,29525204,18,19473,24277,229807,39839592,1843,290608,4152,16.16
178,151050998,12959782,632303,99019,29677280,18,19473,24277,231124,40055684,1843,290608,4152,15.42
179,151922645,13035912,635269,99019,134046869,18,19473,24277,232313,40278065,1843,290608,4152,16.17
period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,9458,514,4833,99019,4457210,18,19463,13598,3544,703509,1836,290608,4152,0.01
1,16604,5987,15494,99019,4649787,18,19463,13598,5009,717968,1836,290608,4152,0.00
2,19359,5987,18103,99019,5635810,18,19463,13598,6172,730210,1836,290608,4152,0.00
3,814769,84826,21082,99019,6641319,18,19463,13598,7410,939807,1836,290608,4152,15.27
4,1659502,164347,24306,99019,6786482,18,19463,13598,8637,1162704,1836,290608,4152,16.79
5,2512865,243403,27571,99019,6917184,18,19463,13598,9863,1385130,1836,290608,4152,16.45
6,3403127,320293,33551,99019,8557467,18,19463,13598,11210,1610364,1836,290608,4152,16.46
7,4282298,393073,36562,99019,7169287,18,19463,13598,12514,1837219,1836,290608,4152,16.41
8,5138103,468954,39866,99019,7298120,18,19463,13598,13791,2056287,1836,290608,4152,15.92
9,5966714,546638,43117,99019,10733860,18,19463,13598,15076,2270878,1836,290608,4152,15.93
10,6853078,619230,46331,99019,7558766,18,19463,13598,16246,2503547,1836,290608,4152,16.51
11,7742145,692312,50516,99019,7660074,18,19463,13598,17481,2739943,1836,290608,4152,16.51
12,8636203,766663,53526,99019,7755221,18,19463,13598,18789,2977645,1836,290608,4152,16.65
13,9523995,843481,57498,99019,7861685,18,19463,13598,20029,3217081,1836,290608,4152,17.09
14,10423306,916922,61233,99019,7951062,18,19463,13598,21320,3454083,1836,290608,4152,16.83
15,11309136,991258,64973,99019,8055218,18,19463,13598,22527,3684167,1836,290608,4152,16.49
16,12173341,1065306,68437,99019,8187628,18,19463,13598,23790,3920132,1836,290608,4152,16.63
17,13078141,1140954,71632,99019,8272060,18,19463,13598,25142,4158925,1836,290608,4152,16.88
18,13975925,1214255,75791,99019,8373701,18,19463,13598,26303,4397086,1836,290608,4152,16.69
